PRODUCTNDC,PRODUCTTYPENAME,PROPRIETARYNAME,NONPROPRIETARYNAME,DOSAGEFORMNAME,ROUTENAME,MARKETINGCATEGORYNAME,LABELERNAME,SUBSTANCENAME,ACTIVEINGREDIENTSINFO,DEASCHEDULE,NDCPACKAGECODE,PACKAGEDESCRIPTION,REPORTINGPERIOD
70168-0041,HUMAN COMPOUNDED DRUG,Testo50mgCHOL,Testosterone,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"BSO, LLC",TESTOSTERONE,50 mg,CIII,70168-0041-1,"1 PELLET in 1 VIAL, SINGLE-USE (70168-0041-1) ",2023-2
83826-9034,HUMAN COMPOUNDED DRUG,"Moxifloxacin, Bromfenac","Moxifloxacin 0.5%, Bromfenac 0.075%",SOLUTION,OPHTHALMIC; TOPICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"OSRX, Inc.",MOXIFLOXACIN HYDROCHLORIDE; BROMFENAC SODIUM,10 mg/1 mL; 75 mg/1 mL,,83826-9034-5,"5 mL in 1 BOTTLE, DROPPER (83826-9034-5) ",2023-2
73702-201,HUMAN COMPOUNDED DRUG,Fentanyl Citrate,Fentanyl Citrate,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Wells Pharma of Houston,FENTANYL,5 ug/1 mL,CII,73702-201-10,10 mL in 1 SYRINGE (73702-201-10) ,2023-2
72055-010,HUMAN COMPOUNDED DRUG,Norepinephrine Bitartrate,Norepinephrine Bitartrate,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Baycare Integrated Service Center, LLC /dba BayCare Central Pharmacy",NOREPINEPHRINE BITARTRATE,16 mg/250 mL,,72055-010-01,250 mL in 1 BAG (72055-010-01) ,2023-2
73693-402,HUMAN COMPOUNDED DRUG,TESTOSTERONE 200MG,TESTOSTERONE 200MG,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),FARMAKEIO OUTSOURCING LLC,TESTOSTERONE,200 mg,CIII,73693-402-01,"1 PELLET, IMPLANTABLE in 1 POUCH (73693-402-01) ",2023-2
73702-104,HUMAN COMPOUNDED DRUG,Dextrose,Dextrose 50%,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Wells Pharma of Houston,DEXTROSE MONOHYDRATE,.5 g/1 mL,,73702-104-65,50 mL in 1 SYRINGE (73702-104-65) ,2023-2
70168-2090,HUMAN COMPOUNDED DRUG,E2 37.5mg,Estradiol,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"BSO, LLC",ESTRADIOL,37.5 mg,,70168-2090-1,"1 PELLET in 1 VIAL, SINGLE-USE (70168-2090-1) ",2023-1
70168-0102,HUMAN COMPOUNDED DRUG,Testo100mgCHOL2,Testosterone,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"BSO, LLC",TESTOSTERONE,100 mg,CIII,70168-0102-1,"1 PELLET in 1 VIAL, SINGLE-USE (70168-0102-1) ",2023-1
69194-973,HUMAN COMPOUNDED DRUG,973 VASOPRESSIN 40U/100ML,VASOPRESSIN,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Pine Pharmaceuticals LLC,VASOPRESSIN,40 [USP'U]/100 mL,,69194-973-10,10 BAG in 1 CASE (69194-973-10)  > 100 mL in 1 BAG (69194-973-01) ,2023-1
70168-0100,HUMAN COMPOUNDED DRUG,Testo100mg,Testosterone,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"BSO, LLC",TESTOSTERONE,100 mg,CIII,70168-0100-1,"1 PELLET in 1 VIAL, SINGLE-USE (70168-0100-1) ",2023-1
70168-0060,HUMAN COMPOUNDED DRUG,Testo70mg,Testosterone,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"BSO, LLC",TESTOSTERONE,70 mg,CIII,70168-0060-1,"1 PELLET in 1 VIAL, SINGLE-USE (70168-0060-1) ",2023-1
70168-0123,HUMAN COMPOUNDED DRUG,Testo200mgCHOL BLNT,Testosterone,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"BSO, LLC",TESTOSTERONE,200 mg,CIII,70168-0123-1,"1 PELLET in 1 VIAL, SINGLE-USE (70168-0123-1) ",2023-1
70168-0080,HUMAN COMPOUNDED DRUG,Testo87.5mg,Testosterone,PELLET,SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"BSO, LLC",TESTOSTERONE,87.5 mg,CIII,70168-0080-1,"1 PELLET in 1 VIAL, SINGLE-USE (70168-0080-1) ",2023-1
71170-950,HUMAN COMPOUNDED DRUG,Fentanyl 500mcg and Ropivacaine HCl 250mg added to 250mL Normal Saline,Fentanyl 500mcg 2mcg/mL and Ropivacaine HCl 250mg added to 250mL 0.9% Sodium Chloride Injection (For Epidural Use Only),"INJECTION, SOLUTION",EPIDURAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Apollo Care, LLC",ROPIVACAINE HYDROCHLORIDE; FENTANYL CITRATE,1 mg/1 mL; 2 ug/1 mL,CII,71170-950-25,250 mL in 1 BAG (71170-950-25) ,2023-2
71170-254,HUMAN COMPOUNDED DRUG,Vancomycin 1g added to 250mL of 0.9% Sodium Chloride,Vancomycin 1g added to 250mL of 0.9% Sodium Chloride,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Apollo Care, LLC",VANCOMYCIN HYDROCHLORIDE,4 mg/1 mL,,71170-254-25,250 mL in 1 BAG (71170-254-25) ,2023-2
65302-526,HUMAN COMPOUNDED DRUG,Lidocaine Hydrochloride 1%,Lidocaine Hydrochloride 1%,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),The Ritedose Corporation,LIDOCAINE HYDROCHLORIDE,10 mg/1 mL,,65302-526-10,10 mL in 1 SYRINGE (65302-526-10) ,2023-2
70713-050,HUMAN COMPOUNDED DRUG,ESTRADIOL 6MG,ESTRADIOL 6MG,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Wells Pharmacy, Inc",ESTRADIOL,6 mg,,70713-050-01,"1 PELLET, IMPLANTABLE in 1 BLISTER PACK (70713-050-01) ",2023-1
70713-036,HUMAN COMPOUNDED DRUG,PROGESTERONE SA2 50MG,PROGESTERONE SA2 50MG,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Wells Pharmacy, Inc",PROGESTERONE,50 mg,,70713-036-01,"1 PELLET, IMPLANTABLE in 1 BLISTER PACK (70713-036-01) ",2023-1
70713-003,HUMAN COMPOUNDED DRUG,TESTOSTERONE C 100MG,TESTOSTERONE C 100MG,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Wells Pharmacy, Inc",TESTOSTERONE,100 mg,CIII,70713-003-01,"1 PELLET, IMPLANTABLE in 1 BLISTER PACK (70713-003-01) ",2023-1
70713-004,HUMAN COMPOUNDED DRUG,TESTOSTERONE SA2 50MG,TESTOSTERONE SA2 50MG,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Wells Pharmacy, Inc",TESTOSTERONE,50 mg,CIII,70713-004-01,"1 PELLET, IMPLANTABLE in 1 BLISTER PACK (70713-004-01) ",2023-1
70713-045,HUMAN COMPOUNDED DRUG,TESTOSTERONE C 87.5MG,TESTOSTERONE C 87.5MG,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Wells Pharmacy, Inc",TESTOSTERONE,80 mg,CIII,70713-045-01,"1 PELLET, IMPLANTABLE in 1 BLISTER PACK (70713-045-01) ",2023-1
73702-128,HUMAN COMPOUNDED DRUG,Ropivacaine HCl,Ropivacaine HCl,"INJECTION, SOLUTION",EPIDURAL; INFILTRATION,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Wells Pharma of Houston,ROPIVACAINE HYDROCHLORIDE,2 mg/1 mL,,73702-128-95,550 mL in 1 KIT (73702-128-95) ,2023-2
73702-128,HUMAN COMPOUNDED DRUG,Ropivacaine HCl,Ropivacaine HCl,"INJECTION, SOLUTION",EPIDURAL; INFILTRATION,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Wells Pharma of Houston,ROPIVACAINE HYDROCHLORIDE,2 mg/1 mL,,73702-128-65,50 mL in 1 SYRINGE (73702-128-65) ,2023-2
73702-242,HUMAN COMPOUNDED DRUG,Morphine Sulfate,Morphine Sulfate,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Wells Pharma of Houston,MORPHINE SULFATE,1 mg/1 mL,CII,73702-242-32,2 mL in 1 SYRINGE (73702-242-32) ,2023-2
73702-401,HUMAN COMPOUNDED DRUG,Midazolam HCl,Midazolam HCl,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Wells Pharma of Houston,MIDAZOLAM,1 mg/1 mL,CIV,73702-401-02,100 mL in 1 BAG (73702-401-02) ,2023-2
73702-401,HUMAN COMPOUNDED DRUG,Midazolam HCl,Midazolam HCl,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Wells Pharma of Houston,MIDAZOLAM,1 mg/1 mL,CIV,73702-401-01,50 mL in 1 BAG (73702-401-01) ,2023-2
71266-9115,HUMAN COMPOUNDED DRUG,Hydromorphone HCl,Hydromorphone HCl,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,HYDROMORPHONE HYDROCHLORIDE,1 mg/1 mL,CII,71266-9115-1,30 mL in 1 SYRINGE (71266-9115-1) ,2023-2
71266-6670,HUMAN COMPOUNDED DRUG,Sodium Citrate and Gentamicin Solution,Sodium Citrate and Gentamicin Solution,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,TRISODIUM CITRATE DIHYDRATE; GENTAMICIN SULFATE,40 mg/1 mL; .32 mg/1 mL,,71266-6670-1,30 mL in 1 VIAL (71266-6670-1) ,2023-2
72196-0012,HUMAN COMPOUNDED DRUG,Microplegia (MSA/MSG 0.92 Molar) with CP2D,Microplegia (MSA/MSG 0.92 Molar) with CP2D,SOLUTION,INTRACORONARY,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.","ASPARTIC ACID; GLUTAMIC ACID; CITRIC ACID MONOHYDRATE; TRISODIUM CITRATE DIHYDRATE; SODIUM PHOSPHATE, MONOBASIC, MONOHYDRATE; ANHYDROUS DEXTROSE",.03769 g/1 mL; .04206 g/1 mL; .01226 g/1 mL; .09863 g/1 mL; .00833 g/1 mL; .174 g/1 mL,,72196-0012-2,120 mL in 1 BAG (72196-0012-2) ,2023-2
72196-8100,HUMAN COMPOUNDED DRUG,Heparin 2500units added to NS,Heparin 2500units added to NS,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",HEPARIN SODIUM,2500 U/500 mL,,72196-8100-1,500 mL in 1 BAG (72196-8100-1) ,2023-2
72196-0211,HUMAN COMPOUNDED DRUG,Maintenance 4 to1 Low K (30 meq) In PL A,Maintenance 4 to1 Low K (30 meq) In PL A,SOLUTION,INTRACORONARY,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",LIDOCAINE HYDROCHLORIDE; SODIUM BICARBONATE; SODIUM ACETATE; POTASSIUM CHLORIDE; MAGNESIUM CHLORIDE; SODIUM CHLORIDE; SODIUM GLUCONATE,200 mg/1047 mL; 1.848 g/1047 mL; 3.68 g/1047 mL; 2.605 g/1047 mL; .3 g/1047 mL; 5.26 g/1047 mL; 5.02 g/1047 mL,,72196-0211-1,1047 mL in 1 BAG (72196-0211-1) ,2023-2
71139-6643,HUMAN COMPOUNDED DRUG,Ephedrine Sulfate,Ephedrine Sulfate,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"IntegraDose Compounding Services, LLC",EPHEDRINE SULFATE,25 mg/5 mL,,71139-6643-1,"5 mL in 1 SYRINGE, PLASTIC (71139-6643-1) ",2023-1
73013-2000,HUMAN COMPOUNDED DRUG,Ketamine Hydrochloride 50mg/mL,Ketamine HCl,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),OurPharma LLC,KETAMINE HYDROCHLORIDE,50 mg/1 mL,CIII,73013-2000-2,.5 mL in 1 SYRINGE (73013-2000-2) ,2023-1
73013-1013,HUMAN COMPOUNDED DRUG,Fentanyl Citrate 1mg added to 100mL NS Bag,fentanyl citrate,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),OurPharma LLC,FENTANYL CITRATE,10 ug/1 mL,CII,73013-1013-1,100 mL in 1 BAG (73013-1013-1) ,2023-1
73013-1035,HUMAN COMPOUNDED DRUG,Hydromorphone HCl,Hydromorphone HCl,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),OurPharma LLC,HYDROMORPHONE HYDROCHLORIDE,.2 mg/1 mL,CII,73013-1035-1,30 mL in 1 VIAL (73013-1035-1) ,2023-1
73013-1030,HUMAN COMPOUNDED DRUG,Hydromorphone HCl,Hydromorphone HCl,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),OurPharma LLC,HYDROMORPHONE HYDROCHLORIDE,.2 mg/1 mL,CII,73013-1030-1,50 mL in 1 BAG (73013-1030-1) ,2023-1
73013-1045,HUMAN COMPOUNDED DRUG,Hydromorphone HCl,Hydromorphone HCl,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),OurPharma LLC,HYDROMORPHONE HYDROCHLORIDE,1 mg/1 mL,CII,73013-1045-1,30 mL in 1 VIAL (73013-1045-1) ,2023-1
70214-2021,HUMAN COMPOUNDED DRUG,Vancomycin 1.5g in 250mL,Vancomycin,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),PROVIDENCE INFUSION HOSPITAL SERVICES,VANCOMYCIN,1.5 g/250 mL,,70214-2021-1,250 mL in 1 BAG (70214-2021-1) ,2023-1
70214-3020,HUMAN COMPOUNDED DRUG,"fentaNYL 1,500mcg per 30mL",fentaNYL,"INJECTION, SOLUTION",INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),PROVIDENCE INFUSION HOSPITAL SERVICES,FENTANYL,1500 ug/30 mL,CII,70214-3020-1,30 mL in 1 SYRINGE (70214-3020-1) ,2023-1
72907-2467,HUMAN COMPOUNDED DRUG,Morphine Sulfate,Morphine Sulfate,"INJECTION, SOLUTION",EPIDURAL; INTRAMUSCULAR; INTRATHECAL; INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Brookfield Medical Surgical Supply,MORPHINE SULFATE,25 mg/25 mL,CII,72907-2467-1,"10 mL in 1 VIAL, SINGLE-USE (72907-2467-1) ",2023-2
72907-1818,HUMAN COMPOUNDED DRUG,Triamcinolone Acetonide,Triamcinolone Acetonide,"INJECTION, SUSPENSION",EPIDURAL; INTRA-ARTICULAR; INTRABURSAL; INTRAMUSCULAR,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Brookfield Medical Surgical Supply,TRIAMCINOLONE ACETONIDE,40 mg/40 mL,,72907-1818-3,"3 mL in 1 VIAL, SINGLE-USE (72907-1818-3) ",2023-2
72907-1818,HUMAN COMPOUNDED DRUG,Triamcinolone Acetonide,Triamcinolone Acetonide,"INJECTION, SUSPENSION",EPIDURAL; INTRA-ARTICULAR; INTRABURSAL; INTRAMUSCULAR,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Brookfield Medical Surgical Supply,TRIAMCINOLONE ACETONIDE,40 mg/40 mL,,72907-1818-1,"1 mL in 1 VIAL, SINGLE-USE (72907-1818-1) ",2023-2
72907-1818,HUMAN COMPOUNDED DRUG,Triamcinolone Acetonide,Triamcinolone Acetonide,"INJECTION, SUSPENSION",EPIDURAL; INTRA-ARTICULAR; INTRABURSAL; INTRAMUSCULAR,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Brookfield Medical Surgical Supply,TRIAMCINOLONE ACETONIDE,40 mg/40 mL,,72907-1818-5,"5 mL in 1 VIAL, SINGLE-USE (72907-1818-5) ",2023-2
73177-103,HUMAN COMPOUNDED DRUG,Fentanyl Citrate,Fentanyl Citrate,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),STAQ Pharma Inc,FENTANYL CITRATE,50 ug/1 mL,CII,73177-103-05,"50 mL in 1 SYRINGE, PLASTIC (73177-103-05) ",2023-2
71266-6670,HUMAN COMPOUNDED DRUG,Sodium Citrate and Gentamicin Solution,Sodium Citrate and Gentamicin Solution,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,TRISODIUM CITRATE DIHYDRATE; GENTAMICIN SULFATE,40 mg/1 mL; .32 mg/1 mL,,71266-6670-3,"3 mL in 1 SYRINGE, PLASTIC (71266-6670-3) ",2023-2
71266-6670,HUMAN COMPOUNDED DRUG,Sodium Citrate and Gentamicin Solution,Sodium Citrate and Gentamicin Solution,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,TRISODIUM CITRATE DIHYDRATE; GENTAMICIN SULFATE,40 mg/1 mL; .32 mg/1 mL,,71266-6670-4,"5 mL in 1 SYRINGE, PLASTIC (71266-6670-4) ",2023-2
71266-6412,HUMAN COMPOUNDED DRUG,Mitomycin Bladder Instillation,Mitomycin Bladder Instillation,IRRIGANT,INTRAVESICAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,MITOMYCIN,.5 mg/1 mL,,71266-6412-3,40 mL in 1 SYRINGE (71266-6412-3) ,2023-2
71266-9684,HUMAN COMPOUNDED DRUG,Succinylcholine Chloride,Succinylcholine Chloride,INJECTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,SUCCINYLCHOLINE CHLORIDE,20 mg/1 mL,,71266-9684-5,5 mL in 1 SYRINGE (71266-9684-5) ,2023-2
71266-5100,HUMAN COMPOUNDED DRUG,Oxytocin,Oxytocin,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,OXYTOCIN,30 [iU]/500 mL,,71266-5100-1,500 mL in 1 BAG (71266-5100-1) ,2023-2
71266-1051,HUMAN COMPOUNDED DRUG,Dexamethasone Sodium Phosphate,Dexamethasone Sodium Phosphate,INJECTION,EPIDURAL,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),Fagron Compounding Services LLC dba Fagron Sterile Services LLC dba JCB Laboratories,DEXAMETHASONE SODIUM PHOSPHATE,4 mg/1 mL,,71266-1051-2,2 mL in 1 VIAL (71266-1051-2) ,2023-2
71285-0419,HUMAN COMPOUNDED DRUG,Trophamine 3% / Dextrose 5% With Calcium Gluconate 3.75mEq and Heparin 125 units 250ml in 250ml bag,Trophamine 3% / Dextrose 5% With Calcium Gluconate 3.75mEq and Heparin 125 units 250ml in 250ml bag,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",ALANINE; GLYCINE; PHENYLALANINE; TRYPTOPHAN; VALINE; GLUTAMIC ACID; LYSINE ACETATE; SERINE; TYROSINE; N-ACETYLTYROSINE; THREONINE; CYSTEINE HYDROCHLORIDE; HISTIDINE; ARGININE; TAURINE; DEXTROSE MONOHYDRATE; LEUCINE; METHIONINE; PROLINE; ASPARTIC ACID; ISOLEUCINE; CALCIUM GLUCONATE MONOHYDRATE; HEPARIN SODIUM,.405 g/250 mL; .27 g/250 mL; .36 g/250 mL; .15 g/250 mL; .585 g/250 mL; .375 g/250 mL; .9 g/250 mL; .285 g/250 mL; .033 g/250 mL; .18 g/250 mL; .315 g/250 mL; .018 g/250 mL; .36 g/250 mL; .9 g/250 mL; .01875 g/250 mL; 12.5 g/250 mL; 1.05 g/250 mL; .255 g/250 mL; .51 g/250 mL; .24 g/250 mL; .615 g/250 mL; 3.75 meq/250 mL; 125 U/250 mL,,71285-0419-1,250 mL in 1 BAG (71285-0419-1) ,2023-2
72196-8095,HUMAN COMPOUNDED DRUG,Norepinephrine 16mg added to D5W,Norepinephrine 16mg added to D5W,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",NOREPINEPHRINE BITARTRATE,16 mg/250 mL,,72196-8095-1,250 mL in 1 BAG (72196-8095-1) ,2023-2
72196-6064,HUMAN COMPOUNDED DRUG,Vancomycin 1gm added to NS,Vancomycin 1gm added to NS,SOLUTION,INTRAVENOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Central Admixture Pharmacy Services, Inc.",VANCOMYCIN HYDROCHLORIDE,1 g/250 mL,,72196-6064-1,250 mL in 1 BAG (72196-6064-1) ,2023-2
79926-036,HUMAN COMPOUNDED DRUG,Cyclosporine,Cyclosporine,SUSPENSION/ DROPS,OPHTHALMIC,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Wedgewood Connect, LLC",CYCLOSPORINE,20 mg/1 mL,,79926-036-01,"15 mL in 1 BOTTLE, DROPPER (79926-036-01) ",2023-1
79926-007,HUMAN COMPOUNDED DRUG,Tacrolimus,Tacrolimus,SOLUTION/ DROPS,OPHTHALMIC,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Wedgewood Connect, LLC",TACROLIMUS,.3 mg/1 mL,,79926-007-01,"15 mL in 1 BOTTLE, DROPPER (79926-007-01) ",2023-1
79926-007,HUMAN COMPOUNDED DRUG,Tacrolimus,Tacrolimus,SOLUTION/ DROPS,OPHTHALMIC,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Wedgewood Connect, LLC",TACROLIMUS,.3 mg/1 mL,,79926-007-03,"10 mL in 1 BOTTLE, DROPPER (79926-007-03) ",2023-1
79926-007,HUMAN COMPOUNDED DRUG,Tacrolimus,Tacrolimus,SOLUTION/ DROPS,OPHTHALMIC,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),"Wedgewood Connect, LLC",TACROLIMUS,.3 mg/1 mL,,79926-007-02,"5 mL in 1 BOTTLE, DROPPER (79926-007-02) ",2023-1
79559-3012,HUMAN COMPOUNDED DRUG,S-E012.5,S-E012.5,"PELLET, IMPLANTABLE",SUBCUTANEOUS,OUTSOURCING FACILITY COMPOUNDED HUMAN DRUG PRODUCT (EXEMPT FROM APPROVAL REQUIREMENTS),F. H. Investments. Inc. DBA Asteria Health,ESTRADIOL,12.5 mg/12.5 mg,,79559-3012-1,"12.5 mg in 1 VIAL, PLASTIC (79559-3012-1) ",2023-1
